"","X","item","price","userid","phonenum"
"4",4,"에어팟2세대 유선충전","154,000 원","(inyo****)","010-****-**47"
"31",31,"에어팟","140,000 원","(sork****)","010-****-**81"
"165",165,"갤럭시 우치 46mm","200,000 원","(kjh0****)","010-****-**00"
"316",316,"에어팟","80,000 원","(ipse****)","--"
"339",339,"갤럭시 s8+","200,000 원","(kyss****)","010-****-**61"
"342",342,"갤럭시S8 플러스 64GB","214,000 원","(kyss****)","010-****-**61"
"346",346,"갤럭시S8 플러스 64GB","210,000 원","(kyss****)","010-****-**61"
"443",443,"아이폰6s 플러스","160,000 원","(qkrt****)","010-****-**36"
"450",450,"에어팟 2세대","150,000 원","(best****)","010-****-**09"
"469",469,"에어팟","120,000 원","(best****)","010-****-**0"
"475",475,"아이폰8","0 원","(simo****)","010-****-**60"
